,offer_id,age,income,M,F,O,send_offer
22289,2,66,48000,1,0,0,0
22290,4,66,48000,1,0,0,0
22291,6,66,48000,1,0,0,0
22292,7,66,48000,1,0,0,0
22294,1,82,101000,0,1,0,0
22295,6,82,101000,0,1,0,0
22297,2,57,98000,0,1,0,0
22298,9,57,98000,0,1,0,1
22300,3,69,48000,1,0,0,0
22301,5,69,48000,1,0,0,0
22302,7,69,48000,1,0,0,0
22303,8,69,48000,1,0,0,0
22305,5,20,33000,1,0,0,1
22306,9,20,33000,1,0,0,1
22308,4,48,90000,0,1,0,1
22309,5,48,90000,0,1,0,1
22310,6,48,90000,0,1,0,1
22312,1,60,85000,1,0,0,1
22313,4,60,85000,1,0,0,0
22314,8,60,85000,1,0,0,0
22316,1,39,60000,1,0,0,1
22317,4,39,60000,1,0,0,0
22318,10,39,60000,1,0,0,1
22320,3,31,70000,1,0,0,0
22321,5,31,70000,1,0,0,0
22322,7,31,70000,1,0,0,1
22323,8,31,70000,1,0,0,0
22325,1,46,31000,1,0,0,1
22326,2,46,31000,1,0,0,0
22327,3,46,31000,1,0,0,0
22328,8,46,31000,1,0,0,0
22330,3,76,82000,0,1,0,0
22331,4,76,82000,0,1,0,0
22332,7,76,82000,0,1,0,1
22333,8,76,82000,0,1,0,0
22335,1,62,88000,0,1,0,1
22336,5,62,88000,0,1,0,0
22337,8,62,88000,0,1,0,0
22338,9,62,88000,0,1,0,0
22340,2,55,71000,0,1,0,0
22341,5,55,71000,0,1,0,0
22342,6,55,71000,0,1,0,1
22343,7,55,71000,0,1,0,1
22344,9,55,71000,0,1,0,1
22346,1,39,50000,0,1,0,1
22347,2,39,50000,0,1,0,1
22348,4,39,50000,0,1,0,0
22349,6,39,50000,0,1,0,1
22351,3,49,43000,0,1,0,0
22352,6,49,43000,0,1,0,1
22353,7,49,43000,0,1,0,1
22354,10,49,43000,0,1,0,0
22356,1,57,60000,1,0,0,0
22357,2,57,60000,1,0,0,0
22358,9,57,60000,1,0,0,1
22360,6,18,47000,1,0,0,1
22361,9,18,47000,1,0,0,1
22362,10,18,47000,1,0,0,0
22364,2,21,70000,0,1,0,1
22365,3,21,70000,0,1,0,0
22366,4,21,70000,0,1,0,1
22367,6,21,70000,0,1,0,1
22368,8,21,70000,0,1,0,0
22370,2,37,42000,1,0,0,0
22371,4,37,42000,1,0,0,0
22372,5,37,42000,1,0,0,0
22373,7,37,42000,1,0,0,1
22375,3,64,87000,0,1,0,0
22376,5,64,87000,0,1,0,0
22377,7,64,87000,0,1,0,1
22379,1,60,93000,0,1,0,1
22380,2,60,93000,0,1,0,0
22381,5,60,93000,0,1,0,0
22382,8,60,93000,0,1,0,0
22384,2,83,89000,0,1,0,1
22385,5,83,89000,0,1,0,0
22386,7,83,89000,0,1,0,1
22387,8,83,89000,0,1,0,0
22389,1,62,104000,0,1,0,0
22390,4,62,104000,0,1,0,0
22391,7,62,104000,0,1,0,1
22393,3,22,43000,1,0,0,0
22394,8,22,43000,1,0,0,0
22396,1,46,56000,1,0,0,0
22397,4,46,56000,1,0,0,0
22398,6,46,56000,1,0,0,1
22400,4,58,38000,1,0,0,0
22401,6,58,38000,1,0,0,0
22402,9,58,38000,1,0,0,0
22404,2,40,70000,1,0,0,0
22405,3,40,70000,1,0,0,0
22406,4,40,70000,1,0,0,0
22407,8,40,70000,1,0,0,0
22409,2,49,54000,1,0,0,1
22410,4,49,54000,1,0,0,1
22412,1,78,74000,1,0,0,1
22413,6,78,74000,1,0,0,1
22414,10,78,74000,1,0,0,0
22416,1,35,48000,1,0,0,0
22417,6,35,48000,1,0,0,1
22418,8,35,48000,1,0,0,0
22419,9,35,48000,1,0,0,1
22421,3,69,92000,1,0,0,0
22422,5,69,92000,1,0,0,1
22423,6,69,92000,1,0,0,0
22424,7,69,92000,1,0,0,0
22425,8,69,92000,1,0,0,0
22427,1,23,74000,1,0,0,1
22428,4,23,74000,1,0,0,1
22429,5,23,74000,1,0,0,0
22430,7,23,74000,1,0,0,0
22431,9,23,74000,1,0,0,0
22432,10,23,74000,1,0,0,0
22434,2,18,53000,0,1,0,0
22435,4,18,53000,0,1,0,1
22436,5,18,53000,0,1,0,0
22437,6,18,53000,0,1,0,1
22438,9,18,53000,0,1,0,0
22440,1,44,47000,1,0,0,0
22441,3,44,47000,1,0,0,0
22442,4,44,47000,1,0,0,1
22443,6,44,47000,1,0,0,1
22444,8,44,47000,1,0,0,0
22446,5,54,57000,1,0,0,0
22447,7,54,57000,1,0,0,1
22448,8,54,57000,1,0,0,0
22449,10,54,57000,1,0,0,0
22451,1,62,55000,1,0,0,0
22452,4,62,55000,1,0,0,0
22453,5,62,55000,1,0,0,0
22454,8,62,55000,1,0,0,0
22455,9,62,55000,1,0,0,0
22457,2,42,53000,0,1,0,1
22458,3,42,53000,0,1,0,0
22459,6,42,53000,0,1,0,1
22460,8,42,53000,0,1,0,0
22461,10,42,53000,0,1,0,0
22463,1,97,52000,0,1,0,0
22464,4,97,52000,0,1,0,0
22465,8,97,52000,0,1,0,0
22466,9,97,52000,0,1,0,1
22468,2,63,33000,1,0,0,0
22469,3,63,33000,1,0,0,0
22470,10,63,33000,1,0,0,0
22472,2,32,53000,1,0,0,0
22473,4,32,53000,1,0,0,0
22474,6,32,53000,1,0,0,1
22475,8,32,53000,1,0,0,0
22477,5,71,47000,1,0,0,0
22478,6,71,47000,1,0,0,0
22479,9,71,47000,1,0,0,0
22481,3,30,66000,0,1,0,0
22482,6,30,66000,0,1,0,1
22483,9,30,66000,0,1,0,1
22485,2,39,71000,1,0,0,1
22486,8,39,71000,1,0,0,0
22487,9,39,71000,1,0,0,1
22489,1,65,66000,0,1,0,1
22490,3,65,66000,0,1,0,0
22491,6,65,66000,0,1,0,1
22492,9,65,66000,0,1,0,1
22493,10,65,66000,0,1,0,0
22495,4,75,86000,1,0,0,0
22496,8,75,86000,1,0,0,0
22497,10,75,86000,1,0,0,1
22499,2,44,100000,0,1,0,1
22500,3,44,100000,0,1,0,0
22501,6,44,100000,0,1,0,1
22502,9,44,100000,0,1,0,1
22504,2,50,51000,1,0,0,0
22505,3,50,51000,1,0,0,0
22506,8,50,51000,1,0,0,0
22507,10,50,51000,1,0,0,1
22509,1,21,43000,1,0,0,0
22510,6,21,43000,1,0,0,0
22511,8,21,43000,1,0,0,0
22512,10,21,43000,1,0,0,0
22514,4,72,56000,1,0,0,1
22515,7,72,56000,1,0,0,1
22516,8,72,56000,1,0,0,0
22517,10,72,56000,1,0,0,1
22519,6,64,36000,0,1,0,1
22520,8,64,36000,0,1,0,0
22522,4,47,55000,0,1,0,0
22523,8,47,55000,0,1,0,0
22524,10,47,55000,0,1,0,0
22526,3,71,85000,0,1,0,0
22527,5,71,85000,0,1,0,0
22528,6,71,85000,0,1,0,0
22529,7,71,85000,0,1,0,1
22530,9,71,85000,0,1,0,0
22532,4,26,41000,0,1,0,1
22533,9,26,41000,0,1,0,1
22534,10,26,41000,0,1,0,1
22536,2,36,35000,0,1,0,0
22537,3,36,35000,0,1,0,0
22538,5,36,35000,0,1,0,0
22539,9,36,35000,0,1,0,1
22541,2,60,118000,0,1,0,1
22542,3,60,118000,0,1,0,0
22543,4,60,118000,0,1,0,0
22544,8,60,118000,0,1,0,0
22546,2,49,53000,0,1,0,1
22547,3,49,53000,0,1,0,0
22548,7,49,53000,0,1,0,1
22549,9,49,53000,0,1,0,1
22551,1,38,50000,1,0,0,0
22552,5,38,50000,1,0,0,0
22553,7,38,50000,1,0,0,1
22554,9,38,50000,1,0,0,0
22556,2,45,43000,1,0,0,0
22557,5,45,43000,1,0,0,0
22558,7,45,43000,1,0,0,1
22559,8,45,43000,1,0,0,0
22561,2,47,70000,1,0,0,1
22562,4,47,70000,1,0,0,1
22563,7,47,70000,1,0,0,1
22564,8,47,70000,1,0,0,0
22566,3,45,68000,1,0,0,0
22567,4,45,68000,1,0,0,0
22568,5,45,68000,1,0,0,0
22569,9,45,68000,1,0,0,0
22571,4,55,91000,1,0,0,1
22572,5,55,91000,1,0,0,1
22573,6,55,91000,1,0,0,1
22575,1,50,66000,0,1,0,0
22576,2,50,66000,0,1,0,0
22577,3,50,66000,0,1,0,0
22578,5,50,66000,0,1,0,0
22579,6,50,66000,0,1,0,1
22581,2,24,70000,1,0,0,0
22582,7,24,70000,1,0,0,0
22583,10,24,70000,1,0,0,0
22585,1,51,119000,0,1,0,1
22586,2,51,119000,0,1,0,1
22587,4,51,119000,0,1,0,1
22588,6,51,119000,0,1,0,1
22590,3,49,58000,0,1,0,0
22591,4,49,58000,0,1,0,0
22592,5,49,58000,0,1,0,0
22593,6,49,58000,0,1,0,0
22594,7,49,58000,0,1,0,0
22595,8,49,58000,0,1,0,0
22597,3,60,78000,0,1,0,0
22598,4,60,78000,0,1,0,0
22599,9,60,78000,0,1,0,0
22601,1,53,87000,0,1,0,1
22602,7,53,87000,0,1,0,1
22603,9,53,87000,0,1,0,1
22604,10,53,87000,0,1,0,1
22606,8,81,94000,0,1,0,0
22607,9,81,94000,0,1,0,0
22609,2,57,98000,1,0,0,0
22610,4,57,98000,1,0,0,0
22611,10,57,98000,1,0,0,1
22613,1,46,58000,1,0,0,0
22614,3,46,58000,1,0,0,0
22615,5,46,58000,1,0,0,0
22616,10,46,58000,1,0,0,0
22618,3,32,61000,1,0,0,0
22619,4,32,61000,1,0,0,0
22620,5,32,61000,1,0,0,0
22621,10,32,61000,1,0,0,0
22623,6,37,99000,1,0,0,1
22624,8,37,99000,1,0,0,0
22626,2,51,86000,0,1,0,0
22627,4,51,86000,0,1,0,0
22628,6,51,86000,0,1,0,1
22629,7,51,86000,0,1,0,1
22631,1,58,67000,1,0,0,0
22632,2,58,67000,1,0,0,0
22633,9,58,67000,1,0,0,1
22635,1,51,65000,1,0,0,0
22636,3,51,65000,1,0,0,0
22637,8,51,65000,1,0,0,0
22638,10,51,65000,1,0,0,0
22640,4,34,32000,1,0,0,0
22641,5,34,32000,1,0,0,0
22642,7,34,32000,1,0,0,0
22643,8,34,32000,1,0,0,0
22644,9,34,32000,1,0,0,1
22646,1,67,84000,1,0,0,1
22647,2,67,84000,1,0,0,1
22648,4,67,84000,1,0,0,0
22649,9,67,84000,1,0,0,0
22651,3,83,71000,1,0,0,0
22652,7,83,71000,1,0,0,1
22653,9,83,71000,1,0,0,0
22655,2,22,64000,0,1,0,0
22656,4,22,64000,0,1,0,0
22657,6,22,64000,0,1,0,1
22658,9,22,64000,0,1,0,1
22659,10,22,64000,0,1,0,0
22660,2,55,57000,1,0,0,0
22661,8,55,57000,1,0,0,0
22662,9,55,57000,1,0,0,0
22663,10,55,57000,1,0,0,0
22665,3,44,43000,1,0,0,0
22666,6,44,43000,1,0,0,0
22667,8,44,43000,1,0,0,0
22669,4,23,38000,1,0,0,0
22670,5,23,38000,1,0,0,0
22672,3,57,69000,1,0,0,0
22673,4,57,69000,1,0,0,0
22674,5,57,69000,1,0,0,0
22675,8,57,69000,1,0,0,0
22677,2,45,43000,1,0,0,0
22678,5,45,43000,1,0,0,0
22679,6,45,43000,1,0,0,0
22680,10,45,43000,1,0,0,0
22682,1,76,85000,1,0,0,1
22683,2,76,85000,1,0,0,0
22684,5,76,85000,1,0,0,1
22685,6,76,85000,1,0,0,0
22686,8,76,85000,1,0,0,0
22688,2,61,105000,0,1,0,0
22689,6,61,105000,0,1,0,0
22690,7,61,105000,0,1,0,0
22691,8,61,105000,0,1,0,0
22692,10,61,105000,0,1,0,0
22694,3,54,77000,0,1,0,0
22695,8,54,77000,0,1,0,0
22696,10,54,77000,0,1,0,1
22698,4,47,62000,1,0,0,1
22699,7,47,62000,1,0,0,1
22700,9,47,62000,1,0,0,1
22702,4,25,72000,0,1,0,1
22703,7,25,72000,0,1,0,1
22705,2,58,54000,1,0,0,0
22706,4,58,54000,1,0,0,0
22707,5,58,54000,1,0,0,0
22708,7,58,54000,1,0,0,1
22709,8,58,54000,1,0,0,0
22710,10,58,54000,1,0,0,0
22712,7,50,63000,0,1,0,0
22713,9,50,63000,0,1,0,0
22714,10,50,63000,0,1,0,0
22716,2,36,46000,0,1,0,1
22717,3,36,46000,0,1,0,0
22718,6,36,46000,0,1,0,0
22719,7,36,46000,0,1,0,0
22721,1,55,71000,0,1,0,1
22722,2,55,71000,0,1,0,0
22723,3,55,71000,0,1,0,0
22724,10,55,71000,0,1,0,0
22726,1,37,56000,1,0,0,0
22727,3,37,56000,1,0,0,0
22728,8,37,56000,1,0,0,0
22729,9,37,56000,1,0,0,1
22731,1,53,87000,1,0,0,1
22732,7,53,87000,1,0,0,1
22733,8,53,87000,1,0,0,0
22734,9,53,87000,1,0,0,1
22736,1,68,33000,1,0,0,0
22737,3,68,33000,1,0,0,0
22738,5,68,33000,1,0,0,0
22739,6,68,33000,1,0,0,1
22741,3,34,52000,1,0,0,0
22742,9,34,52000,1,0,0,1
22743,10,34,52000,1,0,0,1
22745,3,71,98000,0,1,0,0
22746,5,71,98000,0,1,0,0
22747,7,71,98000,0,1,0,0
22749,2,68,44000,1,0,0,0
22750,7,68,44000,1,0,0,1
22751,9,68,44000,1,0,0,1
22753,6,20,66000,1,0,0,1
22754,7,20,66000,1,0,0,0
22756,1,43,78000,0,0,1,1
22757,4,43,78000,0,0,1,1
22758,6,43,78000,0,0,1,1
22760,7,61,81000,1,0,0,1
22761,10,61,81000,1,0,0,1
22763,4,36,64000,0,1,0,1
22764,5,36,64000,0,1,0,0
22765,6,36,64000,0,1,0,0
22766,8,36,64000,0,1,0,0
22767,10,36,64000,0,1,0,1
22769,1,72,118000,0,1,0,1
22770,2,72,118000,0,1,0,0
22771,5,72,118000,0,1,0,0
22772,10,72,118000,0,1,0,0
22774,2,22,37000,0,1,0,0
22775,8,22,37000,0,1,0,0
22776,9,22,37000,0,1,0,1
22777,10,22,37000,0,1,0,0
22779,1,59,93000,0,1,0,0
22780,3,59,93000,0,1,0,0
22781,7,59,93000,0,1,0,1
22782,9,59,93000,0,1,0,0
22784,2,66,45000,1,0,0,0
22785,5,66,45000,1,0,0,0
22786,7,66,45000,1,0,0,1
22787,8,66,45000,1,0,0,0
22789,1,49,68000,1,0,0,0
22790,6,49,68000,1,0,0,1
22791,7,49,68000,1,0,0,1
22792,8,49,68000,1,0,0,0
22794,5,24,56000,1,0,0,0
22795,8,24,56000,1,0,0,0
22796,10,24,56000,1,0,0,0
22798,3,59,57000,1,0,0,0
22799,7,59,57000,1,0,0,1
22801,4,81,79000,1,0,0,0
22802,5,81,79000,1,0,0,0
22803,8,81,79000,1,0,0,0
22805,3,19,56000,1,0,0,0
22806,8,19,56000,1,0,0,0
22807,10,19,56000,1,0,0,0
22809,1,46,81000,0,1,0,0
22810,7,46,81000,0,1,0,0
22811,8,46,81000,0,1,0,0
22812,9,46,81000,0,1,0,0
22813,10,46,81000,0,1,0,1
22815,3,30,40000,1,0,0,0
22816,6,30,40000,1,0,0,1
22817,10,30,40000,1,0,0,0
22819,3,62,78000,0,1,0,0
22820,5,62,78000,0,1,0,1
22821,6,62,78000,0,1,0,1
22822,9,62,78000,0,1,0,1
22824,2,71,86000,1,0,0,0
22825,3,71,86000,1,0,0,0
22826,4,71,86000,1,0,0,0
22827,5,71,86000,1,0,0,0
22829,4,37,56000,0,1,0,0
22830,5,37,56000,0,1,0,0
22831,6,37,56000,0,1,0,0
22832,10,37,56000,0,1,0,0
22834,3,33,47000,0,1,0,0
22835,5,33,47000,0,1,0,1
22836,7,33,47000,0,1,0,1
22838,1,37,49000,1,0,0,0
22839,5,37,49000,1,0,0,0
22840,7,37,49000,1,0,0,0
22841,9,37,49000,1,0,0,0
22843,3,60,82000,0,1,0,0
22844,4,60,82000,0,1,0,0
22845,5,60,82000,0,1,0,0
22846,8,60,82000,0,1,0,0
22847,10,60,82000,0,1,0,0
22849,3,52,92000,1,0,0,0
22850,4,52,92000,1,0,0,1
22851,7,52,92000,1,0,0,1
22852,8,52,92000,1,0,0,0
22854,3,32,37000,0,0,1,0
22855,5,32,37000,0,0,1,0
22856,7,32,37000,0,0,1,1
22857,8,32,37000,0,0,1,0
22859,1,92,60000,1,0,0,1
22860,2,92,60000,1,0,0,0
22861,8,92,60000,1,0,0,0
22862,9,92,60000,1,0,0,1
22864,1,56,58000,1,0,0,0
22865,4,56,58000,1,0,0,1
22866,6,56,58000,1,0,0,0
22867,8,56,58000,1,0,0,0
22869,1,57,74000,0,1,0,0
22870,3,57,74000,0,1,0,0
22871,8,57,74000,0,1,0,0
22872,9,57,74000,0,1,0,0
22874,2,43,38000,1,0,0,0
22875,5,43,38000,1,0,0,0
22876,6,43,38000,1,0,0,1
22878,3,58,96000,1,0,0,0
22879,4,58,96000,1,0,0,1
22880,7,58,96000,1,0,0,0
22881,8,58,96000,1,0,0,0
22882,9,58,96000,1,0,0,1
22884,4,53,65000,1,0,0,0
22885,7,53,65000,1,0,0,1
22886,10,53,65000,1,0,0,1
22888,1,38,58000,1,0,0,0
22889,5,38,58000,1,0,0,0
22890,6,38,58000,1,0,0,1
22892,4,22,46000,1,0,0,0
22893,7,22,46000,1,0,0,1
22895,3,20,35000,0,1,0,0
22896,5,20,35000,0,1,0,0
22897,9,20,35000,0,1,0,1
22898,10,20,35000,0,1,0,0
22900,2,72,117000,1,0,0,1
22901,4,72,117000,1,0,0,0
22902,8,72,117000,1,0,0,0
22903,9,72,117000,1,0,0,0
22905,4,80,75000,1,0,0,0
22906,5,80,75000,1,0,0,1
22907,7,80,75000,1,0,0,0
22908,8,80,75000,1,0,0,0
22909,9,80,75000,1,0,0,0
22911,3,33,32000,1,0,0,0
22912,4,33,32000,1,0,0,0
22913,9,33,32000,1,0,0,0
22915,2,30,47000,0,1,0,0
22916,3,30,47000,0,1,0,0
22917,4,30,47000,0,1,0,0
22918,8,30,47000,0,1,0,0
22919,10,30,47000,0,1,0,0
22921,5,42,95000,1,0,0,0
22922,6,42,95000,1,0,0,0
22923,9,42,95000,1,0,0,0
22924,1,53,71000,0,1,0,0
22925,8,53,71000,0,1,0,0
22926,9,53,71000,0,1,0,0
22927,10,53,71000,0,1,0,0
22929,1,63,86000,1,0,0,1
22930,4,63,86000,1,0,0,1
22931,5,63,86000,1,0,0,1
22932,6,63,86000,1,0,0,0
22933,7,63,86000,1,0,0,1
22934,9,63,86000,1,0,0,1
22936,1,68,87000,1,0,0,0
22937,2,68,87000,1,0,0,1
22938,8,68,87000,1,0,0,0
22939,9,68,87000,1,0,0,1
22941,2,30,62000,1,0,0,1
22942,3,30,62000,1,0,0,0
22943,7,30,62000,1,0,0,1
22944,10,30,62000,1,0,0,1
22946,4,62,86000,0,1,0,1
22947,6,62,86000,0,1,0,1
22949,1,29,33000,0,1,0,1
22950,2,29,33000,0,1,0,1
22951,5,29,33000,0,1,0,0
22952,8,29,33000,0,1,0,0
22953,10,29,33000,0,1,0,0
22955,7,49,111000,0,1,0,1
22956,8,49,111000,0,1,0,0
22957,9,49,111000,0,1,0,0
22959,1,55,76000,1,0,0,0
22960,3,55,76000,1,0,0,0
22961,4,55,76000,1,0,0,1
22962,9,55,76000,1,0,0,0
22964,3,76,103000,0,1,0,0
22965,4,76,103000,0,1,0,0
22966,7,76,103000,0,1,0,0
22967,9,76,103000,0,1,0,0
22969,1,22,42000,1,0,0,1
22970,4,22,42000,1,0,0,0
22971,8,22,42000,1,0,0,0
22972,10,22,42000,1,0,0,0
22974,2,90,63000,0,0,1,1
22975,4,90,63000,0,0,1,0
22976,6,90,63000,0,0,1,1
22977,8,90,63000,0,0,1,0
22978,3,39,80000,0,1,0,0
22979,7,39,80000,0,1,0,0
22980,9,39,80000,0,1,0,0
22982,4,34,53000,1,0,0,0
22983,6,34,53000,1,0,0,0
22984,7,34,53000,1,0,0,1
22985,10,34,53000,1,0,0,0
22987,3,50,41000,1,0,0,0
22988,8,50,41000,1,0,0,0
22990,1,60,44000,0,1,0,0
22991,2,60,44000,0,1,0,0
22992,4,60,44000,0,1,0,0
22993,8,60,44000,0,1,0,0
22995,3,63,54000,1,0,0,0
22996,4,63,54000,1,0,0,0
22997,7,63,54000,1,0,0,0
22998,8,63,54000,1,0,0,0
23000,3,32,57000,1,0,0,0
23001,4,32,57000,1,0,0,1
23002,6,32,57000,1,0,0,0
23003,7,32,57000,1,0,0,1
23005,3,42,59000,1,0,0,0
23006,5,42,59000,1,0,0,0
23007,7,42,59000,1,0,0,0
23008,10,42,59000,1,0,0,0
23010,3,25,54000,0,1,0,0
23011,7,25,54000,0,1,0,1
23012,9,25,54000,0,1,0,1
23013,10,25,54000,0,1,0,0
23015,2,20,31000,1,0,0,0
23016,3,20,31000,1,0,0,0
23017,5,20,31000,1,0,0,0
23018,6,20,31000,1,0,0,1
23020,4,70,92000,0,1,0,0
23021,7,70,92000,0,1,0,0
23022,9,70,92000,0,1,0,1
23024,2,59,67000,0,1,0,1
23025,3,59,67000,0,1,0,0
23026,10,59,67000,0,1,0,1
23028,2,58,61000,1,0,0,0
23029,8,58,61000,1,0,0,0
23031,1,38,54000,1,0,0,0
23032,6,38,54000,1,0,0,1
23033,7,38,54000,1,0,0,0
23034,8,38,54000,1,0,0,0
23035,10,38,54000,1,0,0,0
23037,2,56,96000,0,1,0,0
23038,7,56,96000,0,1,0,1
23039,9,56,96000,0,1,0,1
23041,1,32,37000,0,1,0,1
23042,5,32,37000,0,1,0,1
23043,7,32,37000,0,1,0,0
23044,8,32,37000,0,1,0,0
23046,2,58,30000,0,1,0,0
23047,5,58,30000,0,1,0,0
23048,7,58,30000,0,1,0,0
23049,10,58,30000,0,1,0,0
23051,1,22,60000,1,0,0,0
23052,2,22,60000,1,0,0,0
23053,5,22,60000,1,0,0,0
23054,6,22,60000,1,0,0,0
23055,9,22,60000,1,0,0,0
23057,2,66,70000,1,0,0,0
23058,3,66,70000,1,0,0,0
23059,6,66,70000,1,0,0,1
23060,8,66,70000,1,0,0,0
23061,10,66,70000,1,0,0,1
23063,1,62,56000,1,0,0,0
23064,3,62,56000,1,0,0,0
23065,5,62,56000,1,0,0,0
23067,1,64,71000,1,0,0,1
23068,4,64,71000,1,0,0,0
23069,6,64,71000,1,0,0,1
23070,7,64,71000,1,0,0,1
23072,4,63,95000,0,1,0,0
23073,5,63,95000,0,1,0,1
23074,7,63,95000,0,1,0,1
23076,6,71,80000,0,1,0,0
23077,7,71,80000,0,1,0,1
23078,8,71,80000,0,1,0,0
23079,10,71,80000,0,1,0,0
23081,3,66,82000,1,0,0,0
23082,4,66,82000,1,0,0,1
23083,5,66,82000,1,0,0,1
23084,6,66,82000,1,0,0,1
23085,9,66,82000,1,0,0,1
23086,10,66,82000,1,0,0,1
23088,1,51,87000,0,1,0,0
23089,2,51,87000,0,1,0,1
23090,5,51,87000,0,1,0,1
23091,9,51,87000,0,1,0,1
23093,1,65,90000,1,0,0,0
23094,4,65,90000,1,0,0,0
23095,8,65,90000,1,0,0,0
23097,2,54,42000,1,0,0,0
23098,5,54,42000,1,0,0,0
23099,6,54,42000,1,0,0,0
23100,8,54,42000,1,0,0,0
23101,10,54,42000,1,0,0,0
23103,1,35,54000,0,1,0,1
23104,2,35,54000,0,1,0,0
23105,5,35,54000,0,1,0,0
23106,10,35,54000,0,1,0,0
23108,1,42,51000,1,0,0,0
23109,2,42,51000,1,0,0,0
23110,3,42,51000,1,0,0,0
23112,2,21,34000,1,0,0,0
23113,3,21,34000,1,0,0,0
23114,7,21,34000,1,0,0,0
23115,10,21,34000,1,0,0,0
23117,2,65,70000,0,1,0,1
23118,7,65,70000,0,1,0,0
23119,10,65,70000,0,1,0,0
23121,3,65,60000,0,1,0,0
23122,4,65,60000,0,1,0,1
23123,5,65,60000,0,1,0,0
23124,7,65,60000,0,1,0,0
23125,10,65,60000,0,1,0,1
23127,5,50,53000,1,0,0,0
23128,6,50,53000,1,0,0,0
23129,9,50,53000,1,0,0,1
23130,10,50,53000,1,0,0,0
23132,1,55,59000,1,0,0,0
23133,7,55,59000,1,0,0,1
23134,9,55,59000,1,0,0,1
23136,1,57,58000,1,0,0,1
23137,4,57,58000,1,0,0,1
23138,6,57,58000,1,0,0,1
23139,9,57,58000,1,0,0,0
23142,4,68,76000,0,1,0,0
23143,5,68,76000,0,1,0,0
23144,7,68,76000,0,1,0,1
23145,8,68,76000,0,1,0,0
23147,3,65,91000,1,0,0,0
23148,4,65,91000,1,0,0,0
23149,6,65,91000,1,0,0,1
23150,8,65,91000,1,0,0,0
23151,10,65,91000,1,0,0,0
23153,1,44,34000,0,1,0,1
23154,2,44,34000,0,1,0,0
23155,3,44,34000,0,1,0,0
23156,9,44,34000,0,1,0,1
23158,5,69,72000,1,0,0,0
23159,7,69,72000,1,0,0,1
23160,8,69,72000,1,0,0,0
23161,9,69,72000,1,0,0,1
23162,10,69,72000,1,0,0,0
23164,1,54,70000,0,1,0,0
23165,4,54,70000,0,1,0,0
23166,5,54,70000,0,1,0,0
23167,6,54,70000,0,1,0,1
23168,8,54,70000,0,1,0,0
23170,3,39,40000,1,0,0,0
23171,4,39,40000,1,0,0,0
23172,5,39,40000,1,0,0,0
23173,9,39,40000,1,0,0,0
23175,2,22,54000,0,1,0,0
23176,4,22,54000,0,1,0,0
23177,5,22,54000,0,1,0,0
23178,9,22,54000,0,1,0,0
23180,4,82,59000,0,1,0,1
23181,5,82,59000,0,1,0,0
23182,7,82,59000,0,1,0,1
23183,8,82,59000,0,1,0,0
23185,4,76,59000,1,0,0,1
23186,5,76,59000,1,0,0,0
23187,6,76,59000,1,0,0,1
23188,7,76,59000,1,0,0,1
23190,2,20,45000,1,0,0,0
23191,9,20,45000,1,0,0,1
23192,10,20,45000,1,0,0,0
23194,2,58,90000,1,0,0,1
23195,3,58,90000,1,0,0,0
23196,5,58,90000,1,0,0,0
23197,8,58,90000,1,0,0,0
23199,2,48,70000,0,1,0,0
23200,4,48,70000,0,1,0,1
23201,8,48,70000,0,1,0,0
23203,3,37,32000,1,0,0,0
23204,7,37,32000,1,0,0,0
23205,10,37,32000,1,0,0,0
23207,1,60,37000,0,1,0,0
23208,3,60,37000,0,1,0,0
23209,4,60,37000,0,1,0,0
23210,8,60,37000,0,1,0,0
23212,1,32,50000,1,0,0,0
23213,4,32,50000,1,0,0,0
23214,10,32,50000,1,0,0,1
23216,2,65,43000,1,0,0,0
23217,5,65,43000,1,0,0,0
23218,10,65,43000,1,0,0,0
23220,1,58,92000,0,1,0,1
23221,6,58,92000,0,1,0,1
23222,8,58,92000,0,1,0,0
23223,9,58,92000,0,1,0,0
23225,2,36,70000,0,1,0,1
23226,7,36,70000,0,1,0,0
23227,8,36,70000,0,1,0,0
23228,10,36,70000,0,1,0,1
23230,2,65,73000,1,0,0,0
23231,3,65,73000,1,0,0,0
23232,8,65,73000,1,0,0,0
23233,10,65,73000,1,0,0,1
23235,1,37,34000,1,0,0,0
23236,4,37,34000,1,0,0,0
23237,7,37,34000,1,0,0,1
23239,4,49,100000,0,1,0,0
23240,5,49,100000,0,1,0,0
23241,8,49,100000,0,1,0,0
23242,9,49,100000,0,1,0,1
23243,10,49,100000,0,1,0,0
23245,4,54,73000,1,0,0,1
23246,5,54,73000,1,0,0,1
23247,6,54,73000,1,0,0,0
23248,9,54,73000,1,0,0,1
23250,2,56,52000,1,0,0,1
23251,3,56,52000,1,0,0,0
23252,6,56,52000,1,0,0,1
23253,10,56,52000,1,0,0,1
23255,1,78,52000,1,0,0,0
23256,5,78,52000,1,0,0,0
23257,7,78,52000,1,0,0,1
23259,1,51,68000,1,0,0,0
23260,5,51,68000,1,0,0,0
23261,8,51,68000,1,0,0,0
23263,1,54,48000,1,0,0,0
23264,3,54,48000,1,0,0,0
23265,8,54,48000,1,0,0,0
23267,2,48,60000,1,0,0,0
23268,3,48,60000,1,0,0,0
23269,5,48,60000,1,0,0,0
